"YEAR","COUNT","SIZE"
2046,12,33
2046,13,8
2046,14,1
2047,0,110013
2047,1,174845
2047,2,147469
2047,3,99366
2047,4,63997
2047,5,38609
2047,6,21737
2047,7,11142
2047,8,4923
2047,9,1881
2047,10,599
2047,11,190
2047,12,42
2047,13,11
2047,14,3
